Ra-226	61.6	6.74	1	0	5	1	0.293043478	8.425	1.643902439	0.847798742	0.314953271	0.179255319	0.146203905	0.774712644	4.348387097	0.943977591	0.384045584	1.087096774	0.819951338	0.368306011	1.326771654	3.851428571
Ra-226	78.7	23	2	0	5	3.412462908	1	28.75	5.609756098	2.893081761	1.074766355	0.611702128	0.498915401	2.643678161	14.83870968	3.221288515	1.310541311	3.709677419	2.798053528	1.256830601	4.527559055	13.14285714
Ra-226	152.7	0.8	3	0	5	0.118694362	0.034782609	1	0.195121951	0.100628931	0.037383178	0.021276596	0.017353579	0.091954023	0.516129032	0.112044818	0.045584046	0.129032258	0.097323601	0.043715847	0.157480315	0.457142857
Ra-226	188	4.1	4	1	5	0.608308605	0.17826087	5.125	1	0.51572327	0.191588785	0.109042553	0.088937093	0.471264368	2.64516129	0.574229692	0.233618234	0.661290323	0.498783455	0.224043716	0.807086614	2.342857143
Ra-226	243.1	7.95	5	1	5	1.179525223	0.345652174	9.9375	1.93902439	1	0.371495327	0.21143617	0.172451193	0.913793103	5.129032258	1.113445378	0.452991453	1.282258065	0.967153285	0.43442623	1.56496063	4.542857143
Ra-226	294.8	21.4	6	1	5	3.175074184	0.930434783	26.75	5.219512195	2.691823899	1	0.569148936	0.464208243	2.459770115	13.80645161	2.99719888	1.219373219	3.451612903	2.603406326	1.169398907	4.212598425	12.22857143
Ra-226	352	37.6	7	1	5	5.578635015	1.634782609	47	9.170731707	4.729559748	1.757009346	1	0.815618221	4.32183908	24.25806452	5.266106443	2.142450142	6.064516129	4.574209246	2.054644809	7.401574803	21.48571429
Ra-226	609.3	46.1	8	1	5	6.839762611	2.004347826	57.625	11.24390244	5.798742138	2.154205607	1.22606383	1	5.298850575	29.74193548	6.456582633	2.626780627	7.435483871	5.608272506	2.519125683	9.07480315	26.34285714
Ra-226	780.6	8.7	9	0	5	1.290801187	0.37826087	10.875	2.12195122	1.094339623	0.406542056	0.231382979	0.188720174	1	5.612903226	1.218487395	0.495726496	1.403225806	1.058394161	0.475409836	1.712598425	4.971428571
Ra-226	810	1.55	10	0	5	0.229970326	0.067391304	1.9375	0.37804878	0.194968553	0.072429907	0.041223404	0.03362256	0.17816092	1	0.217086835	0.088319088	0.25	0.188564477	0.084699454	0.30511811	0.885714286
